warehouse,ItemCode,Description,Assortment,ItemGroup,ItemUnit,Stock,QtyToBeDelivered,CHK
1,1004-NV001-P01USG,Nova Alkyd Varnish 1 USG,26-Jan-00,Nova Finished Goods,EA, -   , -   ,-
1,10074-ABIR,YLO OX 313 WB POWDR    25 KG  PPRBG  4920,27-Jan-00,ABIR Stock,kg, -   , -   ,-
1,1009-NV001-P18LT,Nova High Gloss (NON KSS) 18 LTR PAIL,26-Jan-00,Nova Finished Goods,EA, -   , -   ,-
1,1010-NVC034-P01USG,Nova Int  Emulsion(NON KSS) COLOR-034 1 USG,26-Jan-00,Nova Finished Goods,EA, -   , -   ,-
1,1010-NVC039-P01USG,Nova Int  Emulsion(NON KSS) COLOR-039 1 USG,26-Jan-00,Nova Finished Goods,EA, -   , -   ,-
1,101013,SUGAR,1-Jan-00,Raw Materials,kg, -   , 63.10 ,-
1,101015,CONSERVING AGENT (K-02),1-Jan-00,Raw Materials,LT, -   , 18.03 ,-
1,101020-01,POLYVINYL ACETATE EMULSION AE-600S,1-Jan-00,Raw Materials,kg, -   , -   ,-
1,101020,POLYVINYL ACETATE AE-950,1-Jan-00,Raw Materials,kg, -   , -   ,-
1,101025,POWER FLOW- HWR,1-Jan-00,Raw Materials,kg, -   , -   ,-
1,101035,VISCALEX VG-2,1-Jan-00,Raw Materials,kg, -   , -   ,-
1,101036,NAFROES - 801 P,1-Jan-00,Raw Materials,kg, -   , -   ,-
1,101037,SODIUM SULPAHTE,1-Jan-00,Raw Materials,kg, -   , -   ,-
1,10124,CACO3  32 MIC  (7 DL),24-Jan-00,Nova Raw Material,kg, -   , -   ,-
1,10193-ABIR,ACTICIDE BX-H                 200 KG PLSTBRL,27-Jan-00,ABIR Stock,kg, -   , -   ,-
1,102003-02,BYK 1690 SD,1-Jan-00,Raw Materials,kg, -   , -   ,-
1,102021-12,Silfoam SE 3646 M,1-Jan-00,Raw Materials,kg, -   , -   ,-
1,102033,ARBOCEL ZZC 500,1-Jan-00,Raw Materials,kg, -   , -   ,-
1,102034-01,MECELLOSE FMC-25002,1-Jan-00,Raw Materials,kg, -   , -   ,-
1,1025-NV001-BLK,Nova Quick Dry (QD)  TC Paste Yellow Oxide,26-Jan-00,Nova Finished Goods,kg, -   , -   ,-
1,10255,ALKYD PASTE RED OXIDE,24-Jan-00,Nova Raw Material,kg, -   , -   ,-
1,10256,ALKYD PASTE BLACK OXIDE,24-Jan-00,Nova Raw Material,kg, -   , -   ,-
1,10293,1306-LT PHTHALOCYANINE GREEN,24-Jan-00,Nova Raw Material,LT, -   , -   ,-
1,103002-02,ADFLEX,1-Jan-00,Raw Materials,kg, 0.00 , 100.00 ,#N/A
1,103017,ADHESIVE TAPE WHITE 4MM,1-Jan-00,Raw Materials,LM, -   , 342.00 ,-
1,103023,POLYESTER CARRIER 33/140,1-Jan-00,Raw Materials,LM, -   , -   ,-
1,103055,POLYESTER MAT 200 GSM,1-Jan-00,Raw Materials,LM, -   , -   ,-
1,10334-ABIR,VIKING 5460-ABIR,27-Jan-00,ABIR Stock,kg, -   , -   ,-
1,10338-ABIR,THEOPLAST G-1132     250 KG BRL,27-Jan-00,ABIR Stock,kg, -   , -   ,-
1,10350,NUOSPERSA FX-540,24-Jan-00,Nova Raw Material,kg, -   , -   ,-
1,10360-ABIR,CELFLOC - 2000    CELLULOSE,27-Jan-00,ABIR Stock,kg, -   , -   ,-
1,10373-ABIR,PRINTEX G 10 KG BAG,27-Jan-00,ABIR Stock,kg, -   , -   ,-
1,10379-ABIR,CHROME YELLOW DCC 1003,27-Jan-00,ABIR Stock,kg, -   , -   ,-
1,104005-01,PIGMENT YELLOW 2920,1-Jan-00,Raw Materials,kg, -   , -   ,-
1,104005,PIGMENT YELLOW 313,1-Jan-00,Raw Materials,kg, (0.00), -   ,-
1,104022-01,MICRO SILICA(CHINESE ORIGIN),1-Jan-00,Raw Materials,kg, -   , -   ,-
1,104042-05,PIGMENT PASTE RED-31,1-Jan-00,Raw Materials,LT, -   , -   ,-
1,104042-24,IU JO - YELLOW OXIDE COLORANT,1-Jan-00,Raw Materials,LT, -   , -   ,-
1,104062-02,BAYFERROX BROWN 610,1-Jan-00,Raw Materials,kg, -   , -   ,-
1,104068,TC-33 DISAZO YELLOW,1-Jan-00,Raw Materials,LT, -   , -   ,-
1,104085,Green Oxide 5605,1-Jan-00,Raw Materials,kg, -   , -   ,-
1,104086,Silica Sand 0.1 - 0.5,1-Jan-00,Raw Materials,kg, 0.00 , -   ,#N/A
